Nodes: 34, Radius: 0.2, Seed: 852397, Edges: 54

(2, 4, 6, 9, 11, 12, 18, 28)
(2, 4, 6, 9, 11, 12, 18, 33)
(2, 4, 6, 9, 11, 12, 22, 28)
(2, 4, 6, 9, 11, 12, 22, 33)
(2, 4, 6, 9, 11, 18, 24, 28)
(2, 4, 6, 9, 11, 18, 24, 33)
(2, 4, 6, 9, 11, 22, 24, 28)
(2, 4, 6, 9, 11, 22, 24, 33)
(2, 4, 6, 9, 12, 18, 28, 30)
(2, 4, 6, 9, 12, 18, 30, 33)
(2, 4, 6, 9, 12, 22, 28, 30)
(2, 4, 6, 9, 12, 22, 30, 33)
(2, 4, 6, 9, 18, 24, 28, 30)
(2, 4, 6, 9, 18, 24, 30, 33)
(2, 4, 6, 9, 22, 24, 28, 30)
(2, 4, 6, 9, 22, 24, 30, 33)
(2, 4, 6, 10, 11, 12, 18, 28)
(2, 4, 6, 10, 11, 12, 18, 33)
(2, 4, 6, 10, 11, 12, 22, 28)
(2, 4, 6, 10, 11, 12, 22, 33)
(2, 4, 6, 10, 11, 18, 24, 28)
(2, 4, 6, 10, 11, 18, 24, 33)
(2, 4, 6, 10, 11, 22, 24, 28)
(2, 4, 6, 10, 11, 22, 24, 33)
(2, 4, 6, 10, 12, 18, 28, 30)
(2, 4, 6, 10, 12, 18, 30, 33)
(2, 4, 6, 10, 12, 22, 28, 30)
(2, 4, 6, 10, 12, 22, 30, 33)
(2, 4, 6, 10, 18, 24, 28, 30)
(2, 4, 6, 10, 18, 24, 30, 33)
(2, 4, 6, 10, 22, 24, 28, 30)
(2, 4, 6, 10, 22, 24, 30, 33)
(2, 4, 6, 11, 12, 18, 21, 28)
(2, 4, 6, 11, 12, 18, 21, 33)
(2, 4, 6, 11, 12, 18, 28, 29)
(2, 4, 6, 11, 12, 18, 29, 33)
(2, 4, 6, 11, 12, 21, 22, 28)
(2, 4, 6, 11, 12, 21, 22, 33)
(2, 4, 6, 11, 12, 22, 28, 29)
(2, 4, 6, 11, 12, 22, 29, 33)
(2, 4, 6, 11, 18, 21, 24, 28)
(2, 4, 6, 11, 18, 21, 24, 33)
(2, 4, 6, 11, 18, 24, 28, 29)
(2, 4, 6, 11, 18, 24, 29, 33)
(2, 4, 6, 11, 21, 22, 24, 28)
(2, 4, 6, 11, 21, 22, 24, 33)
(2, 4, 6, 11, 22, 24, 28, 29)
(2, 4, 6, 11, 22, 24, 29, 33)
(2, 4, 6, 12, 18, 21, 28, 30)
(2, 4, 6, 12, 18, 21, 30, 33)
(2, 4, 6, 12, 18, 28, 29, 30)
(2, 4, 6, 12, 18, 29, 30, 33)
(2, 4, 6, 12, 21, 22, 28, 30)
(2, 4, 6, 12, 21, 22, 30, 33)
(2, 4, 6, 12, 22, 28, 29, 30)
(2, 4, 6, 12, 22, 29, 30, 33)
(2, 4, 6, 18, 21, 24, 28, 30)
(2, 4, 6, 18, 21, 24, 30, 33)
(2, 4, 6, 18, 24, 28, 29, 30)
(2, 4, 6, 18, 24, 29, 30, 33)
(2, 4, 6, 21, 22, 24, 28, 30)
(2, 4, 6, 21, 22, 24, 30, 33)
(2, 4, 6, 22, 24, 28, 29, 30)
(2, 4, 6, 22, 24, 29, 30, 33)
(2, 4, 9, 11, 12, 18, 27, 28)
(2, 4, 9, 11, 12, 18, 27, 33)
(2, 4, 9, 11, 12, 22, 27, 28)
(2, 4, 9, 11, 12, 22, 27, 33)
(2, 4, 9, 11, 18, 24, 27, 28)
(2, 4, 9, 11, 18, 24, 27, 33)
(2, 4, 9, 11, 22, 24, 27, 28)
(2, 4, 9, 11, 22, 24, 27, 33)
(2, 4, 9, 12, 18, 27, 28, 30)
(2, 4, 9, 12, 18, 27, 30, 33)
(2, 4, 9, 12, 22, 27, 28, 30)
(2, 4, 9, 12, 22, 27, 30, 33)
(2, 4, 9, 18, 24, 27, 28, 30)
(2, 4, 9, 18, 24, 27, 30, 33)
(2, 4, 9, 22, 24, 27, 28, 30)
(2, 4, 9, 22, 24, 27, 30, 33)
(2, 4, 10, 11, 12, 18, 27, 28)
(2, 4, 10, 11, 12, 18, 27, 33)
(2, 4, 10, 11, 12, 22, 27, 28)
(2, 4, 10, 11, 12, 22, 27, 33)
(2, 4, 10, 11, 18, 24, 27, 28)
(2, 4, 10, 11, 18, 24, 27, 33)
(2, 4, 10, 11, 22, 24, 27, 28)
(2, 4, 10, 11, 22, 24, 27, 33)
(2, 4, 10, 12, 18, 27, 28, 30)
(2, 4, 10, 12, 18, 27, 30, 33)
