Nodes: 10, Radius: 0.4000000000000001, Seed: 837916, Edges: 23

(0, 1, 2, 3)
(0, 1, 2, 4)
(0, 1, 2, 5)
(0, 1, 2, 7)
(0, 1, 2, 8)
(0, 1, 3, 7)
(0, 1, 3, 9)
(0, 1, 4, 7)
(0, 1, 4, 9)
(0, 1, 5, 7)
(0, 1, 5, 9)
(0, 1, 7, 8)
(0, 1, 8, 9)
(0, 2, 3, 6)
(0, 2, 3, 7)
(0, 2, 4, 6)
(0, 2, 5, 6)
(0, 2, 5, 7)
(0, 2, 6, 8)
(0, 2, 7, 8)
(0, 3, 6, 7)
(0, 3, 6, 9)
(0, 4, 6, 7)
(0, 4, 6, 9)
(0, 5, 6, 7)
(0, 5, 6, 9)
(0, 6, 8, 9)
(1, 2, 3, 7)
(1, 2, 4, 7)
(1, 2, 5, 7)
(1, 2, 7, 8)
(1, 3, 7, 9)
(1, 4, 7, 9)
(1, 5, 7, 9)
(1, 7, 8, 9)
(2, 3, 6, 7)
(2, 4, 6, 7)
(2, 5, 6, 7)
(2, 6, 7, 8)
(3, 6, 7, 9)
(4, 6, 7, 9)
(5, 6, 7, 9)
(6, 7, 8, 9)
